,publisher,count,frequency
0,"t. bewick and son, newcastle, england",311,0.05964710395090142
1,"tériade, paris",233,0.044687380130418106
2,"vollard, paris",195,0.037399309551208286
3,"parasol press, ltd., new york",195,0.037399309551208286
4,"paul cassirer, berlin",135,0.025891829689298044
5,"fabiani, paris",93,0.017836593785960874
6,"gérald cramer, geneva",93,0.017836593785960874
7,"léo marchutz, aix-en-provence",87,0.01668584579976985
8,"louis broder, paris",84,0.01611047180667434
9,"r. piper & co., munich",80,0.01534330648254699
10,"maeght éditeur, paris",78,0.014959723820483314
11,"albert skira & cie. éditeur, lausanne",73,0.014000767165324127
12,"parkett publishers, zürich and new york",67,0.012850019179133103
13,"editions alecto, london",63,0.012082853855005753
14,"universal limited art editions, west islip, new york",60,0.011507479861910242
15,"librairie gallimard, paris",57,0.01093210586881473
16,"bordas, paris",57,0.01093210586881473
17,"le degré quarante et un (iliazd), paris",57,0.01093210586881473
18,"curt valentin, new york",56,0.010740314537782892
19,"fritz gurlitt, berlin",56,0.010740314537782892
20,"georg müller verlag, munich",53,0.01016494054468738
21,"hugo gellert, white plains, ny",50,0.009589566551591868
22,"kurt wolff verlag, munich",41,0.007863444572305332
23,"editions albert skira, paris",40,0.007671653241273495
24,"les éditions du solstice, paris",39,0.007479861910241657
25,"éditions des quatre chemins, paris",38,0.00728807057920982
26,"la bibliothèque française, paris",38,0.00728807057920982
27,"the limited editions club, new york",38,0.00728807057920982
28,"the museum of modern art, new york",37,0.007096279248177982
29,"kirsten hawthorne, new york",37,0.007096279248177982
30,"verlag von grethlein & co., zürich/leipzig",37,0.007096279248177982
31,"g. l. kuz'min, st. petersburg, s. d. dolinskii, st. petersburg",36,0.006904487917146145
32,"euy, st. petersburg, russia",36,0.006904487917146145
33,"galerie louise leiris, paris",34,0.00652090525508247
34,"the gehenna press, northampton",34,0.00652090525508247
35,gosizdat (state publishing house),32,0.006137322593018795
36,"éditions fragrance, paris",31,0.005945531261986959
37,"petersburg press, london and new york",31,0.005945531261986959
38,"grillen-presse, hamburg",30,0.005753739930955121
39,"lambda press, new york",30,0.005753739930955121
40,"pierre à feu (maeght éditeur), paris",29,0.0055619485999232835
41,"galleria schwarz, milan",29,0.0055619485999232835
42,"styria studio, inc., new york",29,0.0055619485999232835
43,"edizione r. r. bulla, rome",28,0.005370157268891446
44,"artists ussr, leningrad",28,0.005370157268891446
45,"e. fromont, paris",27,0.005178365937859608
46,"klinkhardt & biermann, leipzig",27,0.005178365937859608
47,"les grands peintres modernes et le livre, paris",27,0.005178365937859608
48,"collection dada en dépôt au sans pareil, paris",26,0.004986574606827772
49,"pan-presse (verlag paul cassirer), berlin",25,0.004794783275795934
50,"peter blum edition, new york",25,0.004794783275795934
51,"ives-sillman, new haven, ct",24,0.004602991944764097
52,"allianz-verlag, zürich",23,0.004411200613732259
53,"éditions premières, paris",23,0.004411200613732259
54,"le degré 41 (iliazd), paris",23,0.004411200613732259
55,"éditions orobitz et cie., paris",22,0.004219409282700422
56,"éditions de la sirène, paris",22,0.004219409282700422
57,"limestone press, san francisco",22,0.004219409282700422
58,"eduardo paolozzi, london",21,0.004027617951668585
59,"sergio tosi stampatore, milan",21,0.004027617951668585
60,"les éditions du point du jour, paris",21,0.004027617951668585
61,"international workers order, inc., new york",21,0.004027617951668585
62,"morris gallery, new york",20,0.0038358266206367474
63,"jacques damase éditeur, paris",20,0.0038358266206367474
64,"mezhdunarodnaia kniga, leningrad (for the grosvenor gallery, london)",20,0.0038358266206367474
65,"stanley william hayter, paris",20,0.0038358266206367474
66,british war office,20,0.0038358266206367474
67,"indianakatz, new york",19,0.00364403528960491
68,"unknown, moscow",19,0.00364403528960491
69,"library fellows of the whitney museum of american art, new york",18,0.0034522439585730723
70,"chikumasyobo publishing co., tokyo",18,0.0034522439585730723
71,"tamarind lithography workshop, inc., los angeles",18,0.0034522439585730723
72,"arion press, san francisco",18,0.0034522439585730723
73,"kurt wolff verlag, leipzig",18,0.0034522439585730723
74,"41°, tiflis",17,0.003260452627541235
75,"johannes presse, vienna",17,0.003260452627541235
76,pan-presse (verlag paul cassirer),17,0.003260452627541235
77,"brooke alexander, inc., new york, marlborough graphics, inc., new york",16,0.0030686612965093976
78,"the gehenna press, worcester",15,0.0028768699654775605
79,"verlag der sturm, berlin",14,0.002685078634445723
80,"editions de la galerie motte, paris",14,0.002685078634445723
81,"édition de l'étoile filante, paris",14,0.002685078634445723
82,"editions alecto, london, in association with the royal college of art",14,0.002685078634445723
83,"éditions robert-j. godet, paris",14,0.002685078634445723
84,"gosudarstvennoe izdatel'stvo, moscow",13,0.002493287303413886
85,"kahnweiler, paris",13,0.002493287303413886
86,"verlag 3 (sybil albers, hans bolliger, marianne hürlimann), zürich",13,0.002493287303413886
87,"éditions du dragon, paris",13,0.002493287303413886
88,"collection dada, zurich",13,0.002493287303413886
89,gerald laing,13,0.002493287303413886
90,"unknown, st. petersburg",13,0.002493287303413886
91,"gap (graphic art publications), mexico city",13,0.002493287303413886
92,"verlag gustav kiepenheuer, weimar",13,0.002493287303413886
93,"unknown, tiflis",13,0.002493287303413886
94,alfred flechtheim,13,0.002493287303413886
95,"cordier and ekstrom gallery, new york",12,0.0023014959723820483
96,"hollander's workshop, inc., new york",12,0.0023014959723820483
97,"le degré quarante et un (iliazd), paris and cannes",12,0.0023014959723820483
98,"andrei shemshurin, petrograd",12,0.0023014959723820483
99,"antonio frasconi, new york",11,0.002109704641350211
100,"tiber press, new york",11,0.002109704641350211
101,"lyrika, moscow",11,0.002109704641350211
102,"éditions specs, paris",11,0.002109704641350211
103,"g. l. kuz'min and s. d. dolinskii, moscow",11,0.002109704641350211
104,"kanthos press, los angeles",11,0.002109704641350211
105,"éditions français réunis, paris",11,0.002109704641350211
106,"itek corporation, new york",11,0.002109704641350211
107,"éditions jeanne bucher, paris",10,0.0019179133103183737
108,"alain de la bourdonnaye, paris",9,0.0017261219792865361
109,"george weidenfeld & nicolson, london, marlborough graphics ltd., london",9,0.0017261219792865361
110,"valentine gallery, new york",9,0.0017261219792865361
111,"wendler, new york, seth siegelaub, new york",9,0.0017261219792865361
112,"éditions cosmopolites, paris",9,0.0017261219792865361
113,"neon rose, san francisco",9,0.0017261219792865361
114,"gosudarstvennoe izdatel'stvo, moscow-leningrad",9,0.0017261219792865361
115,"club dada, berlin",9,0.0017261219792865361
116,"segodnia, petrograd",9,0.0017261219792865361
117,"tyler graphics ltd., mount kisco, ny",8,0.0015343306482546988
118,"éditions de la galerie simon (daniel-henry kahnweiler), paris",8,0.0015343306482546988
119,"a. r. meyer, berlin-wilmersdorf",8,0.0015343306482546988
120,"liren', moscow",8,0.0015343306482546988
121,"edition rené block, berlin",7,0.0013425393172228615
122,"w.a. gilbey, ltd.",7,0.0013425393172228615
123,"éditions promesse, poitiers",7,0.0013425393172228615
124,"tetrad press, london",7,0.0013425393172228615
125,"all'insegne del pesce d'oro (giovanni scheiwiller), milan",7,0.0013425393172228615
126,"éditions r.l.d. (robert and lydia dutrou), paris",7,0.0013425393172228615
127,"jean aubier, paris",7,0.0013425393172228615
128,"sweet's catalog service, usa",7,0.0013425393172228615
129,izogiz (state publishing house of the fine arts),7,0.0013425393172228615
130,"shell - mex., ltd.",6,0.0011507479861910242
131,"presse du livre français, paris",6,0.0011507479861910242
132,"editions de l'atelier crommelynck, paris",6,0.0011507479861910242
133,"new directions books, new york (james laughlin)",6,0.0011507479861910242
134,h.m. stationery office,6,0.0011507479861910242
135,underground electric railway company ltd,6,0.0011507479861910242
136,"aleksei kruchenykh, tiflis",6,0.0011507479861910242
137,"the grenfell press, new york",6,0.0011507479861910242
138,"new york graphic workshop, new york",6,0.0011507479861910242
139,olomouc index,6,0.0011507479861910242
140,"izobrazitel'noe iskusstvo, moscow",6,0.0011507479861910242
141,louise bourgeois,6,0.0011507479861910242
142,"georges hugnet, paris",6,0.0011507479861910242
143,"éditions du pavois, paris",6,0.0011507479861910242
144,"multiplicata, paris",5,0.0009589566551591868
145,"molodaia gvardiia, moscow",5,0.0009589566551591868
146,"aleksei kruchenykh, moscow",5,0.0009589566551591868
147,"malik-verlag, berlin",5,0.0009589566551591868
148,"whittaker & co., london",5,0.0009589566551591868
149,"au sans pareil, paris",5,0.0009589566551591868
150,great western railway,5,0.0009589566551591868
151,"the black sun press, paris",5,0.0009589566551591868
152,"izo nkp, petrograd",5,0.0009589566551591868
153,"editions albor, paris",5,0.0009589566551591868
154,"richard lesclide, éditeur, paris",5,0.0009589566551591868
155,cowles education corporation,5,0.0009589566551591868
156,"latitud cuarenta y uno (iliazd), paris",5,0.0009589566551591868
157,"bill graham presents, san francisco",5,0.0009589566551591868
158,"salon verlag, cologne",5,0.0009589566551591868
159,"nrf (nouvelle revue française), paris",5,0.0009589566551591868
160,"pierre seghers, paris",5,0.0009589566551591868
161,"revista acadêmico editora, rio de janeiro",5,0.0009589566551591868
162,éditions du sagittaire,5,0.0009589566551591868
163,"galerie michael werner, cologne and new york",5,0.0009589566551591868
164,"junta delegada de defensa de madrid, delegación de propaganda y prensa",5,0.0009589566551591868
165,"zakkniga, tiflis",4,0.0007671653241273494
166,"aleksei kruchenykh, baku",4,0.0007671653241273494
167,"d. d. burliuk, moscow",4,0.0007671653241273494
168,london passenger transport board,4,0.0007671653241273494
169,"galerie schwarz, milan",4,0.0007671653241273494
170,"kultur lige, kiev",4,0.0007671653241273494
171,"libero badii, buenos aires",4,0.0007671653241273494
172,"editorial albor, paris and barcelona",4,0.0007671653241273494
173,"maximilian-presse, hamburg",4,0.0007671653241273494
174,"ozet, moscow",4,0.0007671653241273494
175,"wiener verlag, vienna",4,0.0007671653241273494
176,"41°, baku",4,0.0007671653241273494
177,"citadel press, new york",4,0.0007671653241273494
178,"rrose sélavy, tokyo",4,0.0007671653241273494
179,"tairbut, warsaw",4,0.0007671653241273494
180,"éditions du livre, monte carlo (andré sauret)",4,0.0007671653241273494
181,"galerie espace, amsterdam",4,0.0007671653241273494
182,"moskovskoe teatral'noe izdatel'stvo, moscow",4,0.0007671653241273494
183,"raduga, moscow/leningrad",4,0.0007671653241273494
184,"logan elm press and papermill, columbus, oh",4,0.0007671653241273494
185,"ancienne maison quantin, libraries-imprimeries réunies, paris",4,0.0007671653241273494
186,"akademischer verband für literatur und musik, vienna",4,0.0007671653241273494
187,"l'arbalète, décines (isère), france",4,0.0007671653241273494
188,"michael singer, new york",4,0.0007671653241273494
189,"edmond deman, brussels",4,0.0007671653241273494
190,"diederick van kleef, amsterdam",4,0.0007671653241273494
191,"krug, moscow-petersburg",4,0.0007671653241273494
192,"éditions erker, st. gall, switzerland (franz larese et jürg  janett)",3,0.0005753739930955121
193,"valentine hugo, paris, paul éluard, paris",3,0.0005753739930955121
194,"konoike transportation co., ltd., osaka",3,0.0005753739930955121
195,"artists poster committee of the art workers coalition,new york, ny",3,0.0005753739930955121
196,"callaway editions inc., new york",3,0.0005753739930955121
197,"safrut, moscow",3,0.0005753739930955121
198,"mourlot, paris",3,0.0005753739930955121
199,"teatr scena stu, krakow",3,0.0005753739930955121
200,"imazhinisty, moscow",3,0.0005753739930955121
201,"orobitz et cie., paris",3,0.0005753739930955121
202,"sistan editions, paris",3,0.0005753739930955121
203,"affiches artistique de la plume, paris",3,0.0005753739930955121
204,"division of information, office for emergency management, washington, d.c.",3,0.0005753739930955121
205,"éditions m. lacourière, paris",3,0.0005753739930955121
206,"verlag gustav kiepenheuer, potsdam",3,0.0005753739930955121
207,"gerlach & wiedling, vienna and leipzig",3,0.0005753739930955121
208,"editions girsberger, zurich",3,0.0005753739930955121
209,"futuristy ""gileia"", moscow",3,0.0005753739930955121
210,"gosudarstvennoe muzykal'noe izdatel'stvo, petersburg",3,0.0005753739930955121
211,"editions of the tibor de nagy gallery, new york",3,0.0005753739930955121
212,"first planning co., ltd., osaka",3,0.0005753739930955121
213,"family dog productions, san francisco",3,0.0005753739930955121
214,"krasnaia nov', moscow",3,0.0005753739930955121
215,anton schroll & co.,3,0.0005753739930955121
216,j. r. vilimek,3,0.0005753739930955121
217,"idisher folks farlag, kiev-st. petersburg",3,0.0005753739930955121
218,"tea-kino-pechat', moscow",3,0.0005753739930955121
219,"galerie krinzinger, vienna",3,0.0005753739930955121
220,"euphorion verlag, berlin",3,0.0005753739930955121
221,"41°, moscow",3,0.0005753739930955121
222,"friedr. steinfels a.g., zurich",3,0.0005753739930955121
223,"franco mello e giorgio persano editori, genoa",3,0.0005753739930955121
224,"antonio frasconi, south norwalk, ct",3,0.0005753739930955121
225,"éditions de la montagne, paris",3,0.0005753739930955121
226,"sea cliff press, new york",3,0.0005753739930955121
227,"r. alistair mcalpine publishing ltd., london",3,0.0005753739930955121
228,"skify, berlin",3,0.0005753739930955121
229,royal society for the prevention of accidents,3,0.0005753739930955121
230,"seth siegelaub, new york, dwan gallery, new york",3,0.0005753739930955121
231,"tetsumi kudo, tokyo",3,0.0005753739930955121
232,"edizioni della pergola, pesaro, italy",3,0.0005753739930955121
233,"transpechat' nkps, moscow",3,0.0005753739930955121
234,"brøndum, copenhagen",3,0.0005753739930955121
235,"ogiz-izogiz (association of state book and magazine publishing houses-state publishing house of the fine arts), moscow and leningrad",3,0.0005753739930955121
236,"richard long, bristol",3,0.0005753739930955121
237,"le soleil noir, paris",3,0.0005753739930955121
238,"editions fawbush, new york, solo press, inc.",3,0.0005753739930955121
239,"tsentrifuga, moscow",3,0.0005753739930955121
240,"moskovskii sovet rabochikh krest'ianskikh i krasnoarmeiskikh deputatov, moscow",3,0.0005753739930955121
241,"nova scotia college of art and design lithography workshop, halifax",3,0.0005753739930955121
242,"vkhutemas, moscow",3,0.0005753739930955121
243,"le bateau lavoir, paris",3,0.0005753739930955121
244,"h. chachoin imp., paris",3,0.0005753739930955121
245,"washburn college, topeka, ks",3,0.0005753739930955121
246,"daisy aldan, new york, richard miller, new york",3,0.0005753739930955121
247,"schomir, moscow",3,0.0005753739930955121
248,"pervyi zhurnal russkikh futuristov, moscow",3,0.0005753739930955121
249,"off design co. ltd., tokyo",3,0.0005753739930955121
250,ufa (universum-film-aktiengesellschaft),3,0.0005753739930955121
251,"karsten schubert, london",3,0.0005753739930955121
252,"gelikon, moscow-berlin",3,0.0005753739930955121
253,"segodniashnii lubok, moscow",3,0.0005753739930955121
254,"s. hirzel, leipzig",3,0.0005753739930955121
255,"jacques matarasso, nice",3,0.0005753739930955121
256,"provinciaal museum hasselt, hasselt, belgium",3,0.0005753739930955121
257,"distributor: hermann, pierre berès, paris",3,0.0005753739930955121
258,"zhuravl', st. petersburg",3,0.0005753739930955121
259,"wolfgang wittrock, kunsthandel, düsseldorf",3,0.0005753739930955121
260,"vasilii kamenskii, tiflis",3,0.0005753739930955121
261,"querschnitt verlag, frankfurt am main",3,0.0005753739930955121
262,"landfall press, inc., chicago",3,0.0005753739930955121
263,"les éditeurs français réunis, paris",2,0.0003835826620636747
264,"éditions des cahiers libres, paris",2,0.0003835826620636747
265,"e.n.s.a.a.d., brussels",2,0.0003835826620636747
266,"zarathustra, milan",2,0.0003835826620636747
267,steinway piano,2,0.0003835826620636747
268,"thomas yoseloff, new york and london",2,0.0003835826620636747
269,"shiseido co. ltd., tokyo",2,0.0003835826620636747
270,"robert j. godet, paris",2,0.0003835826620636747
271,"unknown, petrograd",2,0.0003835826620636747
272,"unknown, paris",2,0.0003835826620636747
273,"wide white space gallery, antwerp, galerie michael werner, cologne",2,0.0003835826620636747
274,"verlag karl lang, darmstadt",2,0.0003835826620636747
275,"bernard jacobson, ltd., london",2,0.0003835826620636747
276,"scalo publishers, berlin, new york, zurich",2,0.0003835826620636747
277,"gerald jackson, new york",2,0.0003835826620636747
278,"lef, moscow-petrograd",2,0.0003835826620636747
279,"molodaia gvardiia, petrograd",2,0.0003835826620636747
280,"industrias cosmo s.a., barcelona",2,0.0003835826620636747
281,"édition baudoin lebon, paris",2,0.0003835826620636747
282,"éditions de la nouvelle revue belgique, brussells",2,0.0003835826620636747
283,"politupravleniia khar'kovskogo voennogo okrug, kharkov",2,0.0003835826620636747
284,"graphis, berlin",2,0.0003835826620636747
285,"william brui, leningrad",2,0.0003835826620636747
286,cwf (centrala wynajmu filmow),2,0.0003835826620636747
287,"éditions cercle d'art, paris",2,0.0003835826620636747
288,"hine editions, san francisco",2,0.0003835826620636747
289,"imschoot, uitgevers, ghent, belgium",2,0.0003835826620636747
290,"howardena pindell, new york",2,0.0003835826620636747
291,"eugen rentsch, zurich, munich, and leipzig",2,0.0003835826620636747
292,"folkskomisariat fer bildung, moscow",2,0.0003835826620636747
293,"izo nkp, moscow",2,0.0003835826620636747
294,"pab (pierre andré benoit), alès and paris",2,0.0003835826620636747
295,"éditions nord sud, paris",2,0.0003835826620636747
296,"mimi smith, new york",2,0.0003835826620636747
297,pascal pia,2,0.0003835826620636747
298,"les éditions de minuit, paris",2,0.0003835826620636747
299,"bibliothèque artistique et littéraire, paris",2,0.0003835826620636747
300,"tomislav slavica, zagreb",2,0.0003835826620636747
301,"les éditions du livre, paris",2,0.0003835826620636747
302,"gruppa druzei khlebnikova, moscow",2,0.0003835826620636747
303,"state publishing house, moscow and leningrad",2,0.0003835826620636747
304,"david grob editions, london, callaway editions inc., new york",2,0.0003835826620636747
