index	artist	title	year	Medium	Dimensions	Credit	Object number	Copyright	Department	Manufacturer	Collaborating artist	Model maker	Printer	Engineer	Fabricator	Delineator	Publisher	Edition	Type	Portfolio
40	Le Corbusier (Charles-Édouard Jeanneret)	Exhibition Pavilion, Z.H.L.C., Zurich, Switzerland, Third-floor plan	1961	Letterpress	"12 x 17"" (30.5 x 43.2 cm)"	Takeo Ohbayashi Purchase Fund	209.2003.3	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Architecture and Design							Jullian				
41	Le Corbusier (Charles-Édouard Jeanneret)	Exhibition Pavilion, Z.H.L.C., Zurich, Switzerland, Longitudinal section	1961	Letterpress	"12 x 17"" (30.5 x 43.2 cm)"	Takeo Ohbayashi Purchase Fund	209.2003.4	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Architecture and Design							Jullian				
42	Le Corbusier (Charles-Édouard Jeanneret)	Exhibition Pavilion, Z.H.L.C., Zurich, Switzerland, Cross section	1961	Letterpress	"12 x 17"" (30.5 x 43.2 cm)"	Takeo Ohbayashi Purchase Fund	209.2003.5	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Architecture and Design							Jullian				
43	Le Corbusier (Charles-Édouard Jeanneret)	Exhibition Pavilion, Z.H.L.C., Zurich, Switzerland, Cross section	1961	Letterpress	"12 x 17"" (30.5 x 43.2 cm)"	Takeo Ohbayashi Purchase Fund	209.2003.6	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Architecture and Design							Jullian				
44	Le Corbusier (Charles-Édouard Jeanneret)	Exhibition Pavilion, Z.H.L.C., Zurich, Switzerland, North façade	1961	Letterpress	"12 x 17"" (30.5 x 43.2 cm)"	Takeo Ohbayashi Purchase Fund	209.2003.7	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Architecture and Design							Jullian				
45	Le Corbusier (Charles-Édouard Jeanneret)	Exhibition Pavilion, Z.H.L.C., Zurich, Switzerland, East façade	1961	Letterpress	"12 x 17"" (30.5 x 43.2 cm)"	Takeo Ohbayashi Purchase Fund	209.2003.8	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Architecture and Design							Jullian				
46	Le Corbusier (Charles-Édouard Jeanneret)	Exhibition Pavilion, Z.H.L.C., Zurich, Switzerland, West façade	1961	Letterpress	"12 x 17"" (30.5 x 43.2 cm)"	Takeo Ohbayashi Purchase Fund	209.2003.9	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Architecture and Design							Jullian				
47	Le Corbusier (Charles-Édouard Jeanneret)	Assembly Hall, Chandigarh, India (Model of the roof structure)	1964	Plaster and painted wood	"31 7/8 x 45 1/16 x 45 1/2"" (81 x 114.5 x 115.5 cm)"	Gift of Barbara Jakobson and the Architecture & Design Purchase Fund	121.2010	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Architecture and Design											
48	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	Portfolio of twenty etchings	"plate (see child records): dimensions vary; sheet (each): 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.1-20	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130	Portfolio	
49	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 12 1/2 x 16 7/16"" (31.8 x 41.8 cm); sheet: 17 15/16 x 22 1/2"" (45.5 x 57.1 cm)"	Abby Aldrich Rockefeller Fund	289.1966.1	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
50	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.2	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
51	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 12 1/2 x 16 7/16"" (31.8 x 41.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.3	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
52	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.4	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
53	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.5	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
54	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.6	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
55	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 12 1/2 x 16 7/16"" (31.8 x 41.8 cm); sheet: 17 15/16 x 22 1/2"" (45.5 x 57.1 cm)"	Abby Aldrich Rockefeller Fund	289.1966.7	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
56	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.8	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
57	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.9	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
58	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.10	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
59	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.11	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
60	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.12	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
61	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.13	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
62	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.14	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
63	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.15	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
64	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.16	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
65	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.17	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
66	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.18	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
67	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.19	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
68	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.20	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
69	Le Corbusier (Charles-Édouard Jeanneret)	Hospital, Venice 1962–65. Elevation	1967	Cut-and-pasted silver gelatin photograph and cut-and-pasted paper on paper with graphite, color pencil, ballpoint pen and ink stamp	"17 3/4 x 214 1/2"" (45.1 x 544.8 cm)
Frame: 21 x 218 3/4"" (53.3 x 555.6 cm)"	Don Goeman Purchase Fund, Phyllis Lambert Purchase Fund, and Michael Maharam Purchase Fund	483.2004	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Architecture and Design							Guillaume Jullian de la Fuente				
70	Le Corbusier (Charles-Édouard Jeanneret), Pierre Jeanneret	Governor's Palace (Raj Bhaven) project, Chandigarh, India	1951	Wood, cardboard, and plexiglass	"33 x 71 1/4 x 65"" (83.8 x 181 x 165.1 cm)"	Gift of Alexander Gorlin	125.1988	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Architecture and Design		with Pierre Jeanneret	Alexander Gorlin								
71	Le Corbusier (Charles-Édouard Jeanneret), Pierre Jeanneret	Cité de Refuge, Paris, France	1929	Acrylic	"18 3/4 x 45 x 27"" (47.6 x 114.3 x 68.6 cm)"	Given in honor of Arthur Drexler by Lily Auchincloss, Celeste & Armand P. Bartos, Edward & Mary Barnes, Samuel I. Newhouse Foundation, The Joseph H. & Florence A. Roblee Foundation, Skidmore, Owings & Merrill/New York Partners, Geddes Brecher Qualls Cunningham	229.1987	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Architecture and Design		Pierre Jeanneret	Lenon Kaplan, and Paul Bonfilio, with Norman Baker, Lawrence List, Richard Plewinski, Robert Platts, Umit Koroglu, Lenon and Sokolowski Studios								
72	Richard Pare, Le Corbusier (Charles-Édouard Jeanneret)	Unité d'Habitation, Marseille, France (View of roof terrace)	2011	Digital color coupler laser prints	"36 1/2 x 72"" (92.7 x 182.9 cm)"	Gift of Elise Jaffe + Jeffrey Brown	687.2013		Architecture and Design											
73	Richard Pare, Le Corbusier (Charles-Édouard Jeanneret)	Villa Savoye, Poissy-sur-Seine, France (Exterior view)	2012	Digital color coupler laser prints	"32 3/8 x 73 1/4"" (82.2 x 186.1 cm)"	Gift of Elise Jaffe + Jeffrey Brown	686.2013		Architecture and Design											
74	Richard Pare, Le Corbusier (Charles-Édouard Jeanneret)	Chapel de Notre-Dame-du-Haut, Ronchamp, France (Exterior view)	2012	Digital color coupler laser prints	"22 1/4 x 96"" (56.5 x 243.8 cm)"	Gift of Elise Jaffe + Jeffrey Brown	688.2013		Architecture and Design											
75	Richard Pare, Le Corbusier (Charles-Édouard Jeanneret)	Assembly Hall, Chandigarh, India (Interior view)	2012	Digital color coupler laser prints	"45 x 72"" (114.3 x 182.9 cm)"	Gift of Elise Jaffe + Jeffrey Brown	689.2013		Architecture and Design											
76	Richard Pare, Le Corbusier (Charles-Édouard Jeanneret)	Villa Savoye, Poissy-sur-Seine, France (Exterior view)	2012	Digital color coupler laser prints		Gift of Elise Jaffe + Jeffrey Brown	690.2013		Architecture and Design											
